"name","color","type","sum"
"(#1)  Dark Red Geranium w/spike","","10"" PREMIUM COMBINATION PATIO POTS",30
"(#1) Pink/White Combo","","10"" COMBINATION HANGING BASKETS",8
"(#2) Purple/Yellow Combo","","10"" COMBINATION HANGING BASKETS",22
"(#3) Pink/Purple Combo","","10"" COMBINATION HANGING BASKETS",7
"(#4) Yellow/White Combo","","10"" COMBINATION HANGING BASKETS",12
"(#5)  Pink Combo","","10"" COMBINATION HANGING BASKETS",16
"(#6) Cool Colors- Petunia, Verbena, Calibrachoa","","10"" PREMIUM COMBINATION PATIO POTS",7
"(#6)  Red/White Combo","","10"" COMBINATION HANGING BASKETS",10
"(#7)  Double Impatiens","","10"" COMBINATION HANGING BASKETS",11
"(#7) Pink Blossom- calibrachoa, verbena","","10"" PREMIUM COMBINATION PATIO POTS",18
"(#8)  SHADE Combo","","10"" COMBINATION HANGING BASKETS",14
"(#8) Summer Mix- verbena, petunia, calibrachoa","","10"" PREMIUM COMBINATION PATIO POTS",18
"Alyssum","Purple","FLATS OF ANNUALS",2
"Alyssum","White","FLATS OF ANNUALS",6
"Assorted Shade Combo","Go-Go Begonia-red w/creeping jenny or yellow w/silver dichondra","10"" PREMIUM COMBINATION PATIO POTS",4
"Assorted Shade Combo","New Guinea Impatiens (lavender or magenta)","10"" PREMIUM COMBINATION PATIO POTS",5
"Assorted Shade Combo","or Begonia (big)--red","10"" PREMIUM COMBINATION PATIO POTS",2
"Assorted Sun Combo","Geranium w spike (white, magenta, pink, or coral)","10"" PREMIUM COMBINATION PATIO POTS",8
"Assorted Sun Combo","or Gerbera Daisy mix","10"" PREMIUM COMBINATION PATIO POTS",0
"Assorted Sun Combo","Wave petunia mix - red, white, and dark purple","10"" PREMIUM COMBINATION PATIO POTS",4
"Bacopa","White","4.3"" PREMIUM ANNUAL POTS",8
"Begonia","","10"" HANGING BASKETS",1
"Begonias ","Bronze Leaf Mixed","FLATS OF ANNUALS",1
"Begonias ","Bronze Leaf Red","FLATS OF ANNUALS",2
"Begonias ","Bronze Leaf Rose/Pink","FLATS OF ANNUALS",0
"Begonias ","Bronze Leaf White","FLATS OF ANNUALS",0
"Begonias ","Green Leaf Mixed","FLATS OF ANNUALS",7
"Begonias ","Green Leaf Red","FLATS OF ANNUALS",1
"Begonias ","Green Leaf Rose/Pink","FLATS OF ANNUALS",1
"Begonias ","Green Leaf White","FLATS OF ANNUALS",0
"Black Eyed Susan Vine","red","10"" HANGING BASKETS",2
"Black Eyed Susan Vine","","10"" HANGING BASKETS",1
"Boston Fern","","10"" HANGING BASKETS",7
"Calibrachoa","Pink","4.3"" PREMIUM ANNUAL POTS",5
"Calibrachoa","Purple","4.3"" PREMIUM ANNUAL POTS",6
"Calibrachoa","Red","4.3"" PREMIUM ANNUAL POTS",0
"Calibrachoa","White","4.3"" PREMIUM ANNUAL POTS",3
