name,description,cost,color_limits,color_preference,notes,sun,type,marketing,img_url
(#1)  Dark Red Geranium w/spike,,15,Dark Red,F,,Sun,"10"" PREMIUM COMBINATION PATIO POTS",,http://www.iserv.net/v4files/meadowridge/Dark%20Red%20Geranium%20Spike%20sm.jpg
"(#6)  Cool Colors- Petunia, Verbena",,15,"Dark purple calibrachoa, sky blue petunia, lt. blue verbena",F,,Sun,"10"" PREMIUM COMBINATION PATIO POTS",,http://www.whiteflowerfarm.com/mas_assets/cache/image/4/d/0/1232.Jpg
"(#7) Pink Blossom- calibrachoa, verbena",,15,"Pink calibrachoa, rasberry verbena, bright pink petunia",F,,Sun,"10"" PREMIUM COMBINATION PATIO POTS",,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/low-resolution/ifa_upload/national_combo_spring_2016.jpg?1456421870
"(#8) Summer Mix- verbena, petunia, calibrachoa",,15,"Blue verbena, red petunia, apricot calibrachoa",F,,Sun,"10"" PREMIUM COMBINATION PATIO POTS",,https://s-media-cache-ak0.pinimg.com/236x/22/72/83/22728352b1901c4aa80ed67d22966e43.jpg
Assorted Sun Combo,,15," Geranium w spike (white, magenta, pink, or coral); Wave petunia mix - red, white, and dark purple; or Gerbera Daisy mix",T,Supplier will send assorted plants/colors--we'll try to match your preference but can't guarantee it.,Sun,"10"" PREMIUM COMBINATION PATIO POTS",,http://www.onlineplantguide.com/Image%20Library/P/8785.jpg
Assorted Shade Combo,,15, New Guinea Impatiens (lavender or magenta); Go-Go Begonia-red w/creeping jenny or yellow w/silver dichondra; or Begonia (big)--red,T,Supplier will send assorted plants/colors--we'll try to match your preference but can't guarantee it.,Shade,"10"" PREMIUM COMBINATION PATIO POTS",,http://www.american-farms.com/photogallery/harmony%20dark%20lavender%204.JPG
Begonia,,13,,T,"* Supplier delivers various colors; you may list your color preference (ie. pink or red, etc.) and we'll try to match it, but can't guarantee it",Shade,"10"" HANGING BASKETS",Nowhere to hang a basket?  Drop any basket in your favorite pot and remove the hangers!,http://www.susansgardenpatch.com/annualswaxedbegonias.jpg
Black Eyed Susan Vine,,13,,T,"* Supplier delivers various colors; you may list your color preference (ie. pink or red, etc.) and we'll try to match it, but can't guarantee it",Sun,"10"" HANGING BASKETS",Nowhere to hang a basket?  Drop any basket in your favorite pot and remove the hangers!,http://www.edenbrothers.com/store/media/_Multiple-Images/resized/SFBES17-1_medium.jpg
Impatiens ,,13,,T,"* Supplier delivers various colors; you may list your color preference (ie. pink or red, etc.) and we'll try to match it, but can't guarantee it",Shade,"10"" HANGING BASKETS",Nowhere to hang a basket?  Drop any basket in your favorite pot and remove the hangers!,https://www.meadowsfarms.com/images/Retail/Plants/Annuals/Impatiens-walleriana.aspx
Boston Fern,,13,,T,"* Supplier delivers various colors; you may list your color preference (ie. pink or red, etc.) and we'll try to match it, but can't guarantee it",Shade,"10"" HANGING BASKETS",Nowhere to hang a basket?  Drop any basket in your favorite pot and remove the hangers!,http://bloomiq.com/sites/bloomiq.com/files/imagecache/plant_375px_wide_310px_heigh/123476.003.jpg
Calibrachoa (Million Bells),,13,,T,"* Supplier delivers various colors; you may list your color preference (ie. pink or red, etc.) and we'll try to match it, but can't guarantee it",Sun,"10"" HANGING BASKETS",Nowhere to hang a basket?  Drop any basket in your favorite pot and remove the hangers!,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/54280.jpg
Fuchsia,,13,,F,"* Supplier delivers various colors; you may list your color preference (ie. pink or red, etc.) and we'll try to match it, but can't guarantee it",Shade,"10"" HANGING BASKETS",Nowhere to hang a basket?  Drop any basket in your favorite pot and remove the hangers!,https://millstplants.s3.amazonaws.com/Fuchsia.png
Ivy Geranium,,13,,T,"* Supplier delivers various colors; you may list your color preference (ie. pink or red, etc.) and we'll try to match it, but can't guarantee it",Sun,"10"" HANGING BASKETS",Nowhere to hang a basket?  Drop any basket in your favorite pot and remove the hangers!,https://c2.provenwinners.com/sites/provenwinners.com/files/images/professional/growers/boldly_scarlet_fire_mono.jpg
Double Impatiens,,13,,T,"* Supplier delivers various colors; you may list your color preference (ie. pink or red, etc.) and we'll try to match it, but can't guarantee it",Shade,"10"" HANGING BASKETS",Nowhere to hang a basket?  Drop any basket in your favorite pot and remove the hangers!,https://millstplants.s3.amazonaws.com/DoubleImpatiens.png
Lobelia,,13,,T,"* Supplier delivers various colors; you may list your color preference (ie. pink or red, etc.) and we'll try to match it, but can't guarantee it",Part Sun,"10"" HANGING BASKETS",Nowhere to hang a basket?  Drop any basket in your favorite pot and remove the hangers!,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/rockapulco_apple_blossom_0.jpg
New Guinea Impatiens,,13,,T,"* Supplier delivers various colors; you may list your color preference (ie. pink or red, etc.) and we'll try to match it, but can't guarantee it",Shade,"10"" HANGING BASKETS",Nowhere to hang a basket?  Drop any basket in your favorite pot and remove the hangers!,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/70727.jpg
Streptocarpella - Blue  ,,13,,F,"* Supplier delivers various colors; you may list your color preference (ie. pink or red, etc.) and we'll try to match it, but can't guarantee it",Shade,"10"" HANGING BASKETS",Nowhere to hang a basket?  Drop any basket in your favorite pot and remove the hangers!,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/19696.jpg
(#1) Pink/White Combo,"Twister pink verbena, pink calibrachoa, white bacopa",15,,F,,Sun,"10"" COMBINATION HANGING BASKETS",Beautiful gift idea for Mother's Day!,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/5936_29.jpg
(#2) Purple/Yellow Combo,"Dark purple calibrachoa, yellow bidens, lavender bacopa",15,,F,,Sun,"10"" COMBINATION HANGING BASKETS",Beautiful gift idea for Mother's Day!,https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/superbells_blue_0.jpg
